time,dev1,dev2,connection
8145.0,2,15,up
8188.0,23,32,up
8191.0,9,25,up
8206.0,2,15,up
8235.0,2,15,up
8278.0,1,23,up
8287.0,23,32,up
8289.0,1,32,up
8317.0,23,32,up
8320.0,9,25,up
8348.0,1,32,up
8371.0,9,25,up
8399.0,23,32,up
8411.0,19,27,up
8460.0,5,26,up
8500.0,9,25,up
8527.0,1,32,up
8531.0,19,27,up
8535.0,2,15,up
8591.0,19,27,up
8591.0,9,25,up
8625.0,2,15,up
8669.0,23,32,up
8699.0,23,32,up
8711.0,19,27,up
8711.0,9,25,up
8767.0,23,32,up
8831.0,19,27,up
8857.0,23,32,up
8891.0,19,27,up
8911.0,9,25,up
8917.0,2,15,up
8971.0,9,25,up
8977.0,23,32,up
9001.0,9,25,up
9035.0,2,15,up
9037.0,23,32,up
9131.0,19,27,up
9156.0,2,15,up
9179.0,1,23,up
9187.0,23,32,up
9190.0,19,27,up
9216.0,2,15,up
9239.0,1,23,up
9239.0,23,32,up
9277.0,23,32,up
9280.0,19,27,up
9341.0,19,27,up
9487.0,2,15,up
9551.0,19,27,up
9579.0,1,23,up
9636.0,7,13,up
9637.0,23,32,up
9660.0,1,23,up
9671.0,19,27,up
9729.0,1,23,up
9759.0,1,32,up
9759.0,23,32,up
9789.0,1,32,up
9849.0,23,32,up
9900.0,23,32,up
9960.0,23,32,up
10020.0,23,32,up
10087.0,2,15,up
10092.0,9,25,up
10140.0,23,32,up
10152.0,9,25,up
10239.0,1,23,up
10298.0,2,15,up
10298.0,23,32,up
10302.0,9,25,up
10328.0,2,15,up
10350.0,23,32,up
10389.0,1,23,up
10416.0,9,25,up
10453.0,9,25,up
10482.0,9,25,up
10507.0,2,15,up
10509.0,1,23,up
10530.0,23,32,up
10538.0,2,15,up
10568.0,2,15,up
10600.0,1,32,up
10600.0,7,13,up
10632.0,9,25,up
10659.0,1,23,up
10688.0,2,15,up
10689.0,1,32,up
10750.0,23,32,up
10752.0,9,25,up
10800.0,23,32,up
10807.0,7,13,up
10867.0,9,25,up
10869.0,1,32,up
10897.0,9,25,up
10987.0,7,20,up
10989.0,1,32,up
11017.0,2,15,up
11047.0,4,10,up
11049.0,1,32,up
11083.0,9,25,up
11107.0,4,10,up
11110.0,1,32,up
11110.0,23,32,up
11130.0,1,23,up
11137.0,7,20,up
11138.0,2,15,up
11167.0,4,10,up
11170.0,1,23,up
11170.0,1,32,up
11228.0,2,15,up
11250.0,23,32,up
11289.0,23,32,up
11320.0,1,23,up
11320.0,1,32,up
11350.0,1,32,up
11500.0,7,13,up
11520.0,1,23,up
11530.0,1,32,up
11580.0,1,23,up
11580.0,23,32,up
11640.0,23,32,up
11648.0,2,15,up
11678.0,2,15,up
11679.0,23,32,up
11710.0,23,32,up
11737.0,9,25,up
11769.0,1,32,up
11791.0,23,32,up
11850.0,23,32,up
11890.0,1,32,up
11921.0,1,23,up
11949.0,23,32,up
11951.0,1,32,up
12030.0,1,23,up
12039.0,23,32,up
12069.0,19,27,up
12070.0,1,23,up
12070.0,1,32,up
12159.0,23,32,up
12191.0,1,32,up
12270.0,23,32,up
12300.0,1,23,up
12309.0,23,32,up
12338.0,4,10,up
12367.0,9,25,up
12398.0,2,15,up
12399.0,1,32,up
12399.0,23,32,up
12431.0,1,23,up
12459.0,1,32,up
12518.0,2,15,up
12551.0,1,23,up
12601.0,1,23,up
12757.0,7,20,up
12759.0,23,32,up
12790.0,19,27,up
12816.0,7,20,up
12849.0,1,32,up
12878.0,7,20,up
12879.0,1,32,up
12999.0,23,32,up
13026.0,7,20,up
13059.0,23,32,up
13061.0,13,20,up
13061.0,7,13,up
13088.0,9,25,up
13149.0,2,15,up
13150.0,23,32,up
13202.0,1,23,up
13231.0,23,32,up
13239.0,2,15,up
13261.0,1,23,up
13270.0,23,32,up
13330.0,19,27,up
13387.0,9,25,up
13390.0,23,32,up
13480.0,19,27,up
13539.0,9,25,up
13540.0,23,32,up
13566.0,12,38,up
13599.0,2,15,up
13621.0,23,32,up
13658.0,17,28,up
13658.0,9,25,up
13681.0,23,32,up
13717.0,9,25,up
13807.0,17,28,up
13837.0,9,25,up
13838.0,2,15,up
13898.0,9,25,up
13927.0,17,28,up
13959.0,2,15,up
13960.0,23,32,up
13962.0,17,28,up
13988.0,28,39,up
14017.0,38,39,up
14018.0,2,15,up
14021.0,1,32,up
14048.0,2,15,up
14051.0,1,23,up
14072.0,23,32,up
14108.0,17,28,up
14108.0,9,25,up
14112.0,13,20,up
14138.0,9,25,up
14141.0,1,23,up
14168.0,2,15,up
14171.0,1,23,up
14171.0,1,32,up
14201.0,23,32,up
14202.0,1,23,up
14231.0,1,23,up
14231.0,1,32,up
14232.0,17,28,up
14258.0,2,15,up
14258.0,9,25,up
14259.0,7,13,up
14291.0,1,32,up
14291.0,23,32,up
14312.0,1,23,up
14319.0,2,15,up
14319.0,7,13,up
14351.0,1,32,up
14372.0,23,32,up
14381.0,1,23,up
14407.0,37,38,up
14409.0,2,15,up
14411.0,1,23,up
14439.0,9,25,up
14442.0,17,28,up
14492.0,1,23,up
14529.0,9,25,up
14531.0,1,32,up
14531.0,23,32,up
14562.0,1,23,up
14591.0,1,32,up
14591.0,23,32,up
14621.0,23,32,up
14622.0,1,23,up
14622.0,1,32,up
14622.0,17,28,up
14646.0,13,20,up
14679.0,9,25,up
14712.0,1,23,up
14712.0,1,32,up
14732.0,23,32,up
14738.0,17,28,up
14766.0,13,20,up
14772.0,17,28,up
14802.0,17,28,up
14822.0,23,32,up
14831.0,1,32,up
14860.0,2,15,up
14889.0,9,25,up
14891.0,23,32,up
14918.0,17,28,up
14920.0,5,26,up
14942.0,1,23,up
14951.0,1,32,up
14951.0,23,32,up
14979.0,9,25,up
15010.0,2,15,up
15039.0,9,25,up
15071.0,23,32,up
15098.0,17,28,up
15122.0,23,32,up
15132.0,1,23,up
15158.0,17,28,up
15161.0,1,32,up
15192.0,17,28,up
15221.0,1,32,up
15248.0,17,28,up
15278.0,17,28,up
15339.0,9,25,up
15342.0,1,23,up
15362.0,23,32,up
15371.0,1,32,up
15398.0,17,28,up
15402.0,1,23,up
15402.0,1,32,up
15430.0,2,15,up
15482.0,1,23,up
15522.0,1,23,up
15572.0,1,23,up
15611.0,1,32,up
15611.0,23,32,up
15671.0,23,32,up
15758.0,1,23,up
15761.0,23,32,up
15818.0,1,23,up
15911.0,23,32,up
15962.0,1,23,up
15999.0,9,25,up
16027.0,13,20,up
16058.0,1,23,up
16061.0,23,32,up
16118.0,1,32,up
16121.0,23,32,up
16148.0,1,32,up
16149.0,9,25,up
16232.0,23,32,up
16293.0,23,32,up
16300.0,2,15,up
16302.0,1,32,up
16357.0,13,20,up
16383.0,23,32,up
16413.0,23,32,up
16418.0,17,28,up
16419.0,9,25,up
16450.0,2,15,up
16450.0,4,10,up
16473.0,23,32,up
16508.0,1,32,up
16512.0,23,32,up
16533.0,1,23,up
16542.0,1,32,up
16542.0,19,27,up
16542.0,23,32,up
16569.0,9,25,up
16602.0,23,32,up
16658.0,1,23,up
16658.0,1,32,up
16692.0,1,32,up
16713.0,1,23,up
16720.0,2,15,up
16720.0,7,13,up
16809.0,9,25,up
16863.0,23,32,up
16899.0,7,13,up
16923.0,23,32,up
16930.0,2,15,up
17018.0,1,23,up
17080.0,9,25,up
17082.0,23,32,up
17141.0,23,32,up
17171.0,1,32,up
17222.0,1,23,up
17222.0,23,32,up
17230.0,2,15,up
17258.0,17,28,up
17259.0,9,25,up
17381.0,2,15,up
17408.0,17,28,up
17502.0,1,32,up
17560.0,9,25,up
17561.0,7,13,up
17650.0,9,25,up
17770.0,2,15,up
17772.0,1,32,up
17798.0,1,23,up
17800.0,17,28,up
17800.0,9,25,up
17801.0,7,20,up
17859.0,9,25,up
17889.0,1,32,up
17890.0,9,25,up
17920.0,21,23,up
17944.0,1,23,up
18004.0,1,23,up
18013.0,1,32,up
18034.0,23,32,up
18064.0,1,23,up
18068.0,1,32,up
18094.0,23,32,up
18099.0,9,25,up
18128.0,7,20,up
18131.0,2,15,up
18133.0,23,32,up
18159.0,1,32,up
18160.0,9,25,up
18274.0,23,32,up
18280.0,2,15,up
18311.0,2,15,up
18311.0,7,20,up
18334.0,1,23,up
18340.0,9,25,up
18364.0,23,32,up
18369.0,1,23,up
18400.0,9,25,up
18402.0,19,27,up
18431.0,1,32,up
18431.0,23,32,up
18519.0,1,32,up
18544.0,1,23,up
18544.0,23,32,up
18552.0,1,32,up
18581.0,7,13,up
18582.0,19,27,up
18609.0,1,32,up
18610.0,2,15,up
18640.0,1,32,up
18673.0,1,32,up
18701.0,2,15,up
18731.0,9,25,up
18732.0,1,32,up
18761.0,2,15,up
18791.0,9,25,up
18792.0,23,32,up
18820.0,1,32,up
18822.0,23,32,up
18973.0,19,27,up
19001.0,9,25,up
19002.0,23,32,up
19029.0,37,38,up
19061.0,7,13,up
19090.0,1,23,up
19121.0,9,25,up
19122.0,1,32,up
19122.0,23,32,up
19174.0,23,32,up
19181.0,9,25,up
19211.0,7,13,up
19242.0,23,32,up
19243.0,19,27,up
19301.0,9,25,up
19391.0,7,13,up
19393.0,19,27,up
19422.0,23,32,up
19452.0,2,15,up
19481.0,9,25,up
19540.0,1,23,up
19571.0,7,13,up
19573.0,19,27,up
19601.0,9,25,up
19630.0,1,23,up
19632.0,23,32,up
19662.0,1,32,up
19691.0,9,25,up
19692.0,1,32,up
19692.0,23,32,up
19723.0,19,27,up
19750.0,1,21,up
19781.0,9,25,up
19783.0,19,27,up
19805.0,23,32,up
19811.0,1,21,up
19841.0,1,21,up
19895.0,21,23,up
19902.0,23,32,up
19930.0,1,23,up
19930.0,1,32,up
19933.0,2,15,up
19960.0,1,21,up
19960.0,21,23,up
19961.0,9,25,up
20021.0,9,25,up
20045.0,1,23,up
20075.0,23,32,up
20083.0,2,15,up
20142.0,9,25,up
20170.0,1,23,up
20170.0,1,32,up
20232.0,1,32,up
20261.0,9,25,up
20262.0,1,32,up
20290.0,1,23,up
20319.0,7,20,up
20412.0,1,32,up
20435.0,1,23,up
20465.0,23,32,up
